Company Name,Location,Datum,Status Rocket,Cost,Status Mission,Country,Year,Rocket,Satellite
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Sat Jul 16, 2016 21:41 UTC",StatusRetired,,Success,Kazakhstan,2016,Soyuz U,Progress MS-03
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Thu Jul 07, 2016 01:36 UTC",StatusRetired,,Success,Kazakhstan,2016,Soyuz FG,Soyuz MS-01
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Wed Jun 29, 2016 03:21 UTC",StatusActive,64.68 ,Success,China,2016,Long March 4B,Shijian 16-02
CASC,"LC-201, Wenchang Satellite Launch Center, China","Sat Jun 25, 2016 12:00 UTC",StatusActive,,Success,China,2016,Long March 7/YZ-1A,Demo Flight
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Fri Jun 24, 2016 14:30 UTC",StatusActive,153.0 ,Success,USA,2016,Atlas V 551,MUOS-5
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Wed Jun 22, 2016 03:56 UTC",StatusActive,31.0 ,Success,India,2016,PSLV-XL,Cartosat-2C & Rideshares
Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA","Sun Jun 19, 2016 14:36 UTC",StatusActive,,Success,USA,2016,New Shepard,NS-5
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Sat Jun 18, 2016 05:20 UTC",StatusActive,200.0 ,Success,France,2016,Ariane 5 ECA,"EchoStar 18, BRISat"
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Wed Jun 15, 2016 14:29 UTC",StatusRetired,62.0 ,Success,USA,2016,Falcon 9 Block 3,ABS-2A & Eutelsat 117 West B
CASC,"LC-3, Xichang Satellite Launch Center, China","Sun Jun 12, 2016 15:30 UTC",StatusActive,,Success,China,2016,Long March 3C/E,BeiDou-2 G7
ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA","Sat Jun 11, 2016 17:51 UTC",StatusActive,350.0 ,Success,USA,2016,Delta IV Heavy,NROL-37
ILS,"Site 81/24, Baikonur Cosmodrome, Kazakhstan","Thu Jun 09, 2016 07:10 UTC",StatusActive,65.0 ,Success,Kazakhstan,2016,Proton-M/Briz-M,Intelsat 31 / DLA-2
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia","Sat Jun 04, 2016 14:00 UTC",StatusRetired,41.8 ,Success,Russia,2016,Rokot/Briz KM,Cosmos 2517
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Mon May 30, 2016 03:17 UTC",StatusActive,64.68 ,Success,China,2016,Long March 4B,"Ziyuan III-02 & ??uSat-1, 2"
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Sun May 29, 2016 08:44 UTC",StatusActive,48.5 ,Success,Russia,2016,Soyuz 2.1b/Fregat,GLONASS-M No.51S
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri May 27, 2016 21:39 UTC",StatusRetired,62.0 ,Success,USA,2016,Falcon 9 Block 3,Thaicom 8
Arianespace,"ELS, Guiana Space Centre, French Guiana, France","Tue May 24, 2016 08:48 UTC",StatusActive,,Success,France,2016,Soyuz ST-B/Fregat-MT,Galileo FOC FM10/FM11
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Sun May 15, 2016 02:43 UTC",StatusActive,29.75 ,Success,China,2016,Long March 2D,Yaogan 30
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri May 06, 2016 05:21 UTC",StatusRetired,62.0 ,Success,USA,2016,Falcon 9 Block 3,JCSAT-14
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Thu Apr 28, 2016 07:20 UTC",StatusActive,31.0 ,Success,India,2016,PSLV-XL,IRNSS-1G
Roscosmos,"Site 1S, Vostochny Cosmodrome, Russia","Thu Apr 28, 2016 02:01 UTC",StatusActive,,Success,Russia,2016,Soyuz 2.1a/Volga,"Mikhailo Lomonosov, Aist-2D, & SamSat 218"
Arianespace,"ELS, Guiana Space Centre, French Guiana, France","Mon Apr 25, 2016 21:02 UTC",StatusActive,,Success,France,2016,Soyuz ST-A/Fregat-M,"Sentinel 1B, MICROSCOPE & Others"
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Apr 08, 2016 20:43 UTC",StatusRetired,62.0 ,Success,USA,2016,Falcon 9 Block 3,CRS-8
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Tue Apr 05, 2016 17:38 UTC",StatusActive,29.75 ,Success,China,2016,Long March 2D,Shijian-10
Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA","Sat Apr 02, 2016",StatusActive,,Success,USA,2016,New Shepard,NS-4
